# Nmap 7.99 scan initiated Wed Apr 29 11:24:02 2026 as: /usr/lib/nmap/nmap --privileged -sS -o 3.0.txt 192.168.3.0/24
Warning: 192.168.3.11 giving up on port because retransmission cap hit (10).
Nmap scan report for 192.168.3.1
Host is up (0.10s latency).
Not shown: 685 closed tcp ports (reset)
PORT      STATE SERVICE
1521/tcp  open  oracle
1524/tcp  open  ingreslock
1700/tcp  open  mps-raft
1761/tcp  open  landesk-rc
1801/tcp  open  msmq
1862/tcp  open  mysql-cm-agent
1935/tcp  open  rtmp
1998/tcp  open  x25-svc-port
2013/tcp  open  raid-am
2020/tcp  open  xinupageserver
2022/tcp  open  down
2042/tcp  open  isis
2048/tcp  open  dls-monitor
2065/tcp  open  dlsrpn
2103/tcp  open  zephyr-clt
2105/tcp  open  eklogin
2121/tcp  open  ccproxy-ftp
2170/tcp  open  eyetv
2301/tcp  open  compaqdiag
2366/tcp  open  qip-login
2393/tcp  open  ms-olap1
2401/tcp  open  cvspserver
2557/tcp  open  nicetec-mgmt
2601/tcp  open  zebra
2638/tcp  open  sybase
2717/tcp  open  pn-requester
2718/tcp  open  pn-requester2
3000/tcp  open  ppp
3001/tcp  open  nessus
3003/tcp  open  cgms
3017/tcp  open  event_listener
3031/tcp  open  eppc
3052/tcp  open  powerchute
3268/tcp  open  globalcatLDAP
3324/tcp  open  active-net
3325/tcp  open  active-net
3390/tcp  open  dsc
3404/tcp  open  unknown
3493/tcp  open  nut
3689/tcp  open  rendezvous
3809/tcp  open  apocd
3827/tcp  open  netmpi
3871/tcp  open  avocent-adsap
3889/tcp  open  dandv-tester
3945/tcp  open  emcads
4125/tcp  open  rww
4126/tcp  open  ddrepl
4899/tcp  open  radmin
4900/tcp  open  hfcs
4998/tcp  open  maybe-veritas
5050/tcp  open  mmcc
5087/tcp  open  biotic
5200/tcp  open  targus-getdata
5280/tcp  open  xmpp-bosh
5414/tcp  open  statusd
5432/tcp  open  postgresql
5440/tcp  open  unknown
5510/tcp  open  secureidprop
5560/tcp  open  isqlplus
5566/tcp  open  westec-connect
5633/tcp  open  beorl
5802/tcp  open  vnc-http-2
5810/tcp  open  unknown
5850/tcp  open  unknown
5859/tcp  open  wherehoo
5877/tcp  open  unknown
5904/tcp  open  ag-swim
5907/tcp  open  dsd
5915/tcp  open  unknown
5952/tcp  open  unknown
5987/tcp  open  wbem-rmi
6003/tcp  open  X11:3
6543/tcp  open  mythtv
6689/tcp  open  tsa
6692/tcp  open  unknown
6779/tcp  open  unknown
6792/tcp  open  unknown
6839/tcp  open  unknown
7004/tcp  open  afs3-kaserver
7200/tcp  open  fodms
7625/tcp  open  unknown
7921/tcp  open  unknown
8008/tcp  open  http
8022/tcp  open  oa-system
8031/tcp  open  unknown
8082/tcp  open  blackice-alerts
8088/tcp  open  radan-http
8099/tcp  open  unknown
8180/tcp  open  unknown
8181/tcp  open  intermapper
8200/tcp  open  trivnet1
8222/tcp  open  unknown
8292/tcp  open  blp3
8333/tcp  open  bitcoin
8402/tcp  open  abarsd
8600/tcp  open  asterix
9011/tcp  open  d-star
9091/tcp  open  xmltec-xmlmail
9944/tcp  open  unknown
10000/tcp open  snet-sensor-mgmt
10002/tcp open  documentum
10003/tcp open  documentum_s
10621/tcp open  unknown
10626/tcp open  unknown
10629/tcp open  unknown
11111/tcp open  vce
